Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Home/Away,Player
63,58.0,2024-03-09,27-137,BOS,@,PHO,W (+10),1,34,10.0,21.0,47.6%,3.0,7.0,42.9%,4.0,7.0,57.1%,1.0,2.0,3.0,3.0,2.0,0.0,2.0,1.0,27.0,18.1,6.0,Away,Jaylen Brown
66,60.0,2024-03-14,27-142,BOS,,PHO,W (+15),1,33,14.0,23.0,60.9%,5.0,9.0,55.6%,4.0,6.0,66.7%,0.0,5.0,5.0,3.0,2.0,0.0,1.0,2.0,37.0,29.5,8.0,Home,Jaylen Brown
68,61.0,2024-03-18,27-146,BOS,,DET,W (+25),1,30,11.0,20.0,55.0%,3.0,6.0,50.0%,6.0,8.0,75.0%,0.0,7.0,7.0,3.0,1.0,0.0,3.0,2.0,31.0,22.0,22.0,Home,Jaylen Brown
69,62.0,2024-03-20,27-148,BOS,,MIL,W (+3),1,37,6.0,15.0,40.0%,2.0,4.0,50.0%,7.0,10.0,70.0%,4.0,4.0,8.0,2.0,1.0,0.0,1.0,3.0,21.0,15.9,-2.0,Home,Jaylen Brown
70,63.0,2024-03-22,27-150,BOS,@,DET,W (+27),1,33,13.0,19.0,68.4%,3.0,8.0,37.5%,4.0,7.0,57.1%,0.0,4.0,4.0,0.0,4.0,0.0,4.0,1.0,33.0,24.5,9.0,Away,Jaylen Brown
72,64.0,2024-03-25,27-153,BOS,@,ATL,L (-2),1,37,10.0,22.0,45.5%,2.0,7.0,28.6%,2.0,4.0,50.0%,2.0,2.0,4.0,1.0,2.0,0.0,1.0,3.0,24.0,14.3,-2.0,Away,Jaylen Brown
74,66.0,2024-03-30,27-158,BOS,@,NOP,W (+12),1,35,6.0,16.0,37.5%,3.0,4.0,75.0%,2.0,2.0,100.0%,2.0,5.0,7.0,6.0,1.0,1.0,2.0,2.0,17.0,14.2,4.0,Away,Jaylen Brown
76,67.0,2024-04-03,27-162,BOS,,OKC,W (+35),1,32,9.0,20.0,45.0%,3.0,9.0,33.3%,2.0,3.0,66.7%,1.0,6.0,7.0,4.0,1.0,2.0,5.0,4.0,23.0,13.3,8.0,Home,Jaylen Brown
78,68.0,2024-04-07,27-166,BOS,,POR,W (+17),1,29,10.0,17.0,58.8%,3.0,5.0,60.0%,3.0,3.0,100.0%,0.0,4.0,4.0,2.0,1.0,1.0,2.0,2.0,26.0,19.6,6.0,Home,Jaylen Brown
80,70.0,2024-04-11,27-170,BOS,,NYK,L (-9),1,28,6.0,15.0,40.0%,1.0,5.0,20.0%,2.0,3.0,66.7%,1.0,1.0,2.0,1.0,0.0,2.0,3.0,3.0,15.0,5.4,-29.0,Home,Jaylen Brown
83,71.0,2024-04-21,27-180,BOS,,MIA,W (+20),1,34,6.0,12.0,50.0%,3.0,5.0,60.0%,2.0,4.0,50.0%,2.0,6.0,8.0,3.0,0.0,1.0,1.0,1.0,17.0,14.8,17.0,Home,Jaylen Brown
84,72.0,2024-04-24,27-183,BOS,,MIA,L (-10),1,37,13.0,23.0,56.5%,4.0,9.0,44.4%,3.0,6.0,50.0%,3.0,5.0,8.0,1.0,1.0,1.0,3.0,1.0,33.0,23.5,-22.0,Home,Jaylen Brown
85,73.0,2024-04-27,27-186,BOS,@,MIA,W (+20),1,32,11.0,20.0,55.0%,0.0,4.0,0.0%,0.0,1.0,0.0%,2.0,6.0,8.0,3.0,2.0,1.0,1.0,2.0,22.0,18.2,6.0,Away,Jaylen Brown
86,74.0,2024-04-29,27-188,BOS,@,MIA,W (+14),1,38,7.0,18.0,38.9%,1.0,3.0,33.3%,2.0,4.0,50.0%,2.0,3.0,5.0,2.0,2.0,0.0,6.0,3.0,17.0,4.9,17.0,Away,Jaylen Brown
87,75.0,2024-05-01,27-190,BOS,,MIA,W (+34),1,26,11.0,19.0,57.9%,1.0,7.0,14.3%,2.0,5.0,40.0%,0.0,6.0,6.0,2.0,0.0,0.0,5.0,2.0,25.0,12.3,14.0,Home,Jaylen Brown
88,76.0,2024-05-07,27-196,BOS,,CLE,W (+25),1,33,12.0,18.0,66.7%,4.0,6.0,66.7%,4.0,4.0,100.0%,1.0,5.0,6.0,2.0,0.0,1.0,1.0,2.0,32.0,26.7,9.0,Home,Jaylen Brown
89,77.0,2024-05-09,27-198,BOS,,CLE,L (-24),1,31,7.0,17.0,41.2%,0.0,6.0,0.0%,5.0,5.0,100.0%,0.0,4.0,4.0,1.0,0.0,0.0,1.0,2.0,19.0,10.0,-29.0,Home,Jaylen Brown
90,78.0,2024-05-11,27-200,BOS,@,CLE,W (+13),1,40,13.0,17.0,76.5%,2.0,3.0,66.7%,0.0,2.0,0.0%,2.0,7.0,9.0,3.0,1.0,0.0,2.0,4.0,28.0,23.5,18.0,Away,Jaylen Brown
91,79.0,2024-05-13,27-202,BOS,@,CLE,W (+7),1,34,9.0,15.0,60.0%,2.0,3.0,66.7%,7.0,9.0,77.8%,1.0,7.0,8.0,1.0,0.0,0.0,5.0,4.0,27.0,16.2,3.0,Away,Jaylen Brown
92,80.0,2024-05-15,27-204,BOS,,CLE,W (+15),1,40,4.0,9.0,44.4%,1.0,3.0,33.3%,2.0,4.0,50.0%,0.0,4.0,4.0,7.0,1.0,1.0,3.0,3.0,11.0,9.1,14.0,Home,Jaylen Brown
93,81.0,2024-05-21,27-210,BOS,,IND,W (+5),1,44,10.0,20.0,50.0%,1.0,4.0,25.0%,5.0,8.0,62.5%,1.0,6.0,7.0,5.0,3.0,1.0,3.0,1.0,26.0,21.1,4.0,Home,Jaylen Brown
94,82.0,2024-05-23,27-212,BOS,,IND,W (+16),1,36,14.0,27.0,51.9%,4.0,10.0,40.0%,8.0,11.0,72.7%,2.0,3.0,5.0,2.0,1.0,0.0,2.0,4.0,40.0,26.6,18.0,Home,Jaylen Brown
95,83.0,2024-05-25,27-214,BOS,@,IND,W (+3),1,38,10.0,18.0,55.6%,1.0,5.0,20.0%,3.0,4.0,75.0%,0.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,24.0,17.2,-1.0,Away,Jaylen Brown
96,84.0,2024-05-27,27-216,BOS,@,IND,W (+3),1,44,11.0,22.0,50.0%,4.0,8.0,50.0%,3.0,6.0,50.0%,2.0,4.0,6.0,2.0,3.0,1.0,3.0,3.0,29.0,20.3,6.0,Away,Jaylen Brown
