Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Home/Away
74,52.0,2024-03-31,32-008,DAL,@,HOU,W (+18),1,34,9.0,19.0,47.4%,4.0,9.0,44.4%,2.0,2.0,100.0%,1.0,2.0,3.0,7.0,1.0,0.0,1.0,3.0,24.0,19.3,12.0,Away
75,53.0,2024-04-02,32-010,DAL,@,GSW,L (-4),1,38,10.0,19.0,52.6%,4.0,8.0,50.0%,3.0,3.0,100.0%,0.0,1.0,1.0,2.0,3.0,1.0,4.0,3.0,27.0,17.9,6.0,Away
76,54.0,2024-04-04,32-012,DAL,,ATL,W (+14),1,34,10.0,21.0,47.6%,3.0,7.0,42.9%,3.0,3.0,100.0%,2.0,3.0,5.0,1.0,0.0,1.0,4.0,1.0,26.0,14.6,7.0,Home
77,55.0,2024-04-05,32-013,DAL,,GSW,W (+2),1,42,9.0,19.0,47.4%,2.0,7.0,28.6%,6.0,6.0,100.0%,1.0,7.0,8.0,7.0,2.0,1.0,5.0,3.0,26.0,20.5,1.0,Home
78,56.0,2024-04-07,32-015,DAL,,HOU,W (+11),1,44,15.0,25.0,60.0%,3.0,8.0,37.5%,15.0,17.0,88.2%,0.0,7.0,7.0,2.0,1.0,0.0,2.0,1.0,48.0,37.8,21.0,Home
79,57.0,2024-04-09,32-017,DAL,@,CHO,W (+26),1,37,6.0,15.0,40.0%,2.0,8.0,25.0%,4.0,5.0,80.0%,2.0,6.0,8.0,9.0,2.0,3.0,2.0,3.0,18.0,19.9,24.0,Away
83,59.0,2024-04-21,32-029,DAL,@,LAC,L (-12),1,39,10.0,18.0,55.6%,3.0,6.0,50.0%,8.0,9.0,88.9%,3.0,4.0,7.0,4.0,2.0,0.0,1.0,3.0,31.0,27.9,-9.0,Away
84,60.0,2024-04-23,32-031,DAL,@,LAC,W (+3),1,41,8.0,18.0,44.4%,4.0,8.0,50.0%,3.0,4.0,75.0%,1.0,5.0,6.0,3.0,3.0,0.0,3.0,2.0,23.0,16.7,0.0,Away
85,61.0,2024-04-26,32-034,DAL,,LAC,W (+11),1,36,8.0,17.0,47.1%,3.0,7.0,42.9%,2.0,2.0,100.0%,0.0,4.0,4.0,6.0,2.0,0.0,2.0,4.0,21.0,16.1,17.0,Home
86,62.0,2024-04-28,32-036,DAL,,LAC,L (-5),1,44,14.0,25.0,56.0%,6.0,12.0,50.0%,6.0,6.0,100.0%,2.0,5.0,7.0,5.0,0.0,0.0,7.0,4.0,40.0,25.9,-5.0,Home
