Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Home/Away
52,49.0,2024-02-09,25-343,BOS,,WAS,W (+4),1,38,12.0,22.0,54.5%,3.0,10.0,30.0%,8.0,9.0,88.9%,1.0,9.0,10.0,8.0,1.0,2.0,2.0,1.0,35.0,33.0,9.0,Home
53,50.0,2024-02-11,25-345,BOS,@,MIA,W (+4),1,38,11.0,20.0,55.0%,2.0,6.0,33.3%,2.0,2.0,100.0%,1.0,9.0,10.0,9.0,0.0,2.0,1.0,1.0,26.0,26.1,5.0,Away
54,51.0,2024-02-13,25-347,BOS,@,BRK,W (+8),1,38,14.0,26.0,53.8%,5.0,11.0,45.5%,8.0,8.0,100.0%,0.0,14.0,14.0,5.0,2.0,1.0,2.0,3.0,41.0,35.6,21.0,Away
55,52.0,2024-02-14,25-348,BOS,,BRK,W (+50),1,28,7.0,16.0,43.8%,2.0,7.0,28.6%,4.0,5.0,80.0%,1.0,6.0,7.0,9.0,0.0,0.0,1.0,0.0,20.0,19.0,27.0,Home
56,53.0,2024-02-22,25-356,BOS,@,CHI,W (+17),1,34,8.0,17.0,47.1%,5.0,10.0,50.0%,4.0,6.0,66.7%,0.0,7.0,7.0,5.0,3.0,0.0,3.0,3.0,25.0,19.9,13.0,Away
57,54.0,2024-02-24,25-358,BOS,@,NYK,W (+14),1,43,7.0,15.0,46.7%,2.0,8.0,25.0%,3.0,4.0,75.0%,1.0,5.0,6.0,6.0,2.0,1.0,4.0,3.0,19.0,14.8,15.0,Away
58,55.0,2024-02-27,25-361,BOS,,PHI,W (+18),1,34,9.0,20.0,45.0%,1.0,7.0,14.3%,10.0,11.0,90.9%,0.0,11.0,11.0,8.0,0.0,1.0,1.0,1.0,29.0,26.4,27.0,Home
59,56.0,2024-03-01,25-364,BOS,,DAL,W (+28),1,37,10.0,19.0,52.6%,5.0,9.0,55.6%,7.0,7.0,100.0%,0.0,8.0,8.0,3.0,0.0,0.0,4.0,2.0,32.0,22.4,17.0,Home
60,57.0,2024-03-03,26-000,BOS,,GSW,W (+52),1,25,9.0,13.0,69.2%,4.0,5.0,80.0%,5.0,5.0,100.0%,0.0,3.0,3.0,5.0,1.0,1.0,0.0,2.0,27.0,26.8,40.0,Home
61,58.0,2024-03-05,26-002,BOS,@,CLE,L (-1),1,37,8.0,21.0,38.1%,5.0,9.0,55.6%,5.0,6.0,83.3%,2.0,11.0,13.0,2.0,0.0,0.0,2.0,3.0,26.0,17.0,-7.0,Away
