Rk,Player,WS,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
312,Scotty Pippen Jr.,1,2023-24,23,MEM,21,16,0,527,100,203,70,131,30,72,41,55,22,45,67,98,36,10,56,60,271,0.493,0.534,0.417,0.745,0.596,0.567,G
313,Andre Jackson Jr.,1,2023-24,22,MIL,57,8,0,572,50,100,33,54,17,46,8,11,43,70,113,50,16,6,28,92,125,0.5,0.611,0.37,0.727,0.596,0.585,G
314,Marcus Sasser,0.9,2023-24,23,DET,71,11,0,1351,219,512,129,272,90,240,58,66,11,114,125,236,44,12,90,103,586,0.428,0.474,0.375,0.879,0.542,0.516,G
315,Blake Wesley,0.9,2023-24,20,SAS,61,3,0,876,102,215,90,160,12,55,52,78,18,76,94,166,29,9,55,89,268,0.474,0.563,0.218,0.667,0.537,0.502,G
316,Svi Mykhailiuk,0.9,2023-24,26,BOS,41,2,0,413,57,137,15,29,42,108,6,9,11,40,51,35,11,1,12,19,162,0.416,0.517,0.389,0.667,0.575,0.569,G-F
317,Lindy Waters III,0.9,2023-24,26,OKC,38,0,0,280,49,104,12,19,37,85,2,2,7,33,40,24,5,7,7,23,137,0.471,0.632,0.435,1,0.653,0.649,G
318,Trey Jemison,0.9,2023-24,24,"MEM,WAS",25,14,0,573,75,136,75,136,0,0,21,25,64,70,134,27,12,28,34,69,171,0.551,0.551,,0.84,0.582,0.551,C
319,Doug McDermott,0.9,2023-24,32,"IND,SAS",64,0,0,904,123,284,29,55,94,229,11,19,10,49,59,70,16,2,28,64,351,0.433,0.527,0.41,0.579,0.6,0.599,F
320,Javonte Green,0.9,2023-24,30,CHI,9,5,0,230,45,75,35,48,10,27,10,13,20,47,67,5,10,8,7,19,110,0.6,0.729,0.37,0.769,0.681,0.667,F
321,Noah Clowney,0.9,2023-24,19,BRK,23,4,0,370,50,93,38,60,12,33,21,30,26,55,81,18,8,16,15,25,133,0.538,0.633,0.364,0.7,0.626,0.602,F
322,Dāvis Bertāns,0.9,2023-24,31,"CHO,OKC",43,1,0,674,92,234,16,34,76,200,30,33,9,52,61,35,26,12,18,56,290,0.393,0.471,0.38,0.909,0.583,0.556,F
323,Orlando Robinson,0.9,2023-24,23,MIA,36,7,0,304,36,72,28,57,8,15,19,25,28,56,84,34,7,8,18,35,99,0.5,0.491,0.533,0.76,0.596,0.556,F
324,Dalen Terry,0.8,2023-24,21,CHI,59,2,0,681,69,157,52,83,17,74,25,43,29,84,113,81,27,18,32,81,180,0.439,0.627,0.23,0.581,0.512,0.494,G
325,Damian Jones,0.8,2023-24,28,CLE,39,0,0,270,43,72,40,58,3,14,18,21,20,42,62,15,7,13,13,27,107,0.597,0.69,0.214,0.857,0.659,0.618,F-C
326,Cody Zeller,0.8,2023-24,31,NOP,43,0,0,320,26,62,25,59,1,3,23,38,48,64,112,39,9,5,16,45,76,0.419,0.424,0.333,0.605,0.483,0.427,C-F
327,Ja Morant,0.8,2023-24,24,MEM,9,9,0,318,80,170,66,119,14,51,52,64,6,44,50,73,7,5,27,19,226,0.471,0.555,0.275,0.813,0.57,0.512,G
328,Troy Brown Jr.,0.8,2023-24,24,"DET,MIN",59,15,0,827,84,226,37,85,47,141,32,37,25,119,144,60,24,3,30,42,247,0.372,0.435,0.333,0.865,0.51,0.476,G-F
329,Talen Horton-Tucker,0.8,2023-24,23,UTA,51,11,0,1009,184,465,124,283,60,182,88,109,21,100,121,177,45,19,65,94,516,0.396,0.438,0.33,0.807,0.503,0.46,G-F
