Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2023-10-25,27-001,BOS,@,NYK,W (+4),1,38:08:00,4,11,0.364,0,4,0,3,4,0.75,0,6,6,5,1,0,2,5,11,6.8,8
2,2,2023-10-27,27-003,BOS,,MIA,W (+8),1,33:37:00,11,22,0.5,3,7,0.429,2,4,0.5,2,4,6,1,2,0,4,1,27,16.1,3
3,3,2023-10-30,27-006,BOS,@,WAS,W (+19),1,31:32:00,13,24,0.542,8,13,0.615,2,4,0.5,0,6,6,2,3,1,0,3,36,29.3,32
4,4,2023-11-01,27-008,BOS,,IND,W (+51),1,25:28:00,7,15,0.467,0,1,0,2,2,1,1,6,7,1,0,0,2,3,16,8.3,22
5,5,2023-11-04,27-011,BOS,@,BRK,W (+10),1,35:22:00,7,22,0.318,2,11,0.182,7,8,0.875,0,5,5,4,0,1,2,4,23,11.4,6
6,6,2023-11-06,27-013,BOS,@,MIN,L (-5),1,39:29:00,10,21,0.476,3,8,0.375,3,4,0.75,0,7,7,4,1,0,3,5,26,15.8,-16
7,7,2023-11-08,27-015,BOS,@,PHI,L (-3),1,35:32:00,4,13,0.308,2,7,0.286,1,2,0.5,0,2,2,2,1,1,4,2,11,2,-3
8,8,2023-11-10,27-017,BOS,,BRK,W (+14),1,29:29:00,10,19,0.526,5,9,0.556,3,5,0.6,0,3,3,5,1,0,3,0,28,20.3,6
9,9,2023-11-11,27-018,BOS,,TOR,W (+23),1,31:41:00,12,20,0.6,3,8,0.375,2,3,0.667,1,4,5,2,0,0,2,1,29,20.3,9
10,10,2023-11-13,27-020,BOS,,NYK,W (+16),1,36:28:00,7,18,0.389,2,9,0.222,6,6,1,1,4,5,6,1,1,3,3,22,15.8,17
11,,2023-11-15,27-022,BOS,@,PHI,W (+10),Inactive,,,,,,,,,,,,,,,,,,,,,
12,11,2023-11-17,27-024,BOS,@,TOR,W (+3),1,35:45:00,9,14,0.643,3,5,0.6,2,3,0.667,0,3,3,4,1,1,3,2,23,18,4
13,12,2023-11-19,27-026,BOS,@,MEM,W (+2),1,33:42:00,5,16,0.313,1,7,0.143,1,2,0.5,0,6,6,3,2,2,2,4,12,6.1,1
14,13,2023-11-20,27-027,BOS,@,CHO,L (-3),1,34:01:00,5,17,0.294,0,5,0,3,4,0.75,1,3,4,3,0,0,2,5,13,2.4,-23
15,14,2023-11-22,27-029,BOS,,MIL,W (+3),1,35:13:00,10,16,0.625,3,5,0.6,3,3,1,0,2,2,8,1,0,1,1,26,24.6,-3
16,15,2023-11-24,27-031,BOS,@,ORL,L (-17),1,38:53:00,6,22,0.273,2,8,0.25,4,7,0.571,0,3,3,2,3,1,3,3,18,5.6,1
17,16,2023-11-26,27-033,BOS,,ATL,W (+10),1,36:28:00,9,19,0.474,2,7,0.286,1,2,0.5,1,6,7,3,1,0,2,4,21,12.9,5
18,17,2023-11-28,27-035,BOS,,CHI,W (+27),1,34:47:00,12,23,0.522,3,8,0.375,3,5,0.6,2,6,8,6,0,1,3,1,30,22.6,22
19,18,2023-12-01,27-038,BOS,,PHI,W (+6),1,35:08:00,8,20,0.4,1,4,0.25,3,4,0.75,1,3,4,0,4,2,3,3,20,11.6,10
20,19,2023-12-04,27-041,BOS,@,IND,L (-10),1,31:29:00,14,23,0.609,2,7,0.286,0,1,0,2,7,9,0,1,2,3,6,30,19.6,-10
21,20,2023-12-08,27-045,BOS,,NYK,W (+10),1,27:10:00,7,13,0.538,2,5,0.4,1,1,1,0,0,0,4,1,1,2,5,17,11.2,18
22,21,2023-12-12,27-049,BOS,,CLE,W (+7),1,34:36:00,10,17,0.588,1,5,0.2,4,4,1,1,1,2,4,1,1,3,1,25,19.2,-6
23,22,2023-12-14,27-051,BOS,,CLE,W (+9),1,36:01:00,10,20,0.5,2,5,0.4,0,0,,2,3,5,5,2,0,2,3,22,16.6,4
24,23,2023-12-15,27-052,BOS,,ORL,W (+17),1,29:35:00,8,15,0.533,0,5,0,2,3,0.667,0,3,3,4,0,1,2,0,18,12.7,20
25,24,2023-12-17,27-054,BOS,,ORL,W (+17),1,33:59:00,12,20,0.6,5,8,0.625,2,2,1,1,4,5,6,1,1,2,4,31,26,11
26,25,2023-12-19,27-056,BOS,@,GSW,L (-6),1,41:17:00,10,22,0.455,1,4,0.25,7,8,0.875,3,5,8,7,0,1,4,2,28,20.6,-3
27,26,2023-12-20,27-057,BOS,@,SAC,W (+25),1,29:13:00,11,21,0.524,0,3,0,6,7,0.857,1,4,5,6,0,0,0,2,28,22.6,22
28,27,2023-12-23,27-060,BOS,@,LAC,W (+37),1,29:06:00,9,17,0.529,3,6,0.5,3,4,0.75,3,3,6,2,1,0,3,2,24,16.9,29
29,28,2023-12-25,27-062,BOS,@,LAL,W (+11),1,32:34:00,7,17,0.412,1,5,0.2,4,7,0.571,3,2,5,2,3,0,2,3,19,12.6,9
30,,2023-12-28,27-065,BOS,,DET,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
31,29,2023-12-29,27-066,BOS,,TOR,W (+2),1,40:53:00,11,16,0.688,5,6,0.833,4,5,0.8,1,9,10,6,0,0,7,4,31,22.8,12
32,30,2023-12-31,27-068,BOS,@,SAS,W (+33),1,26:20:00,9,13,0.692,2,2,1,4,6,0.667,1,5,6,3,2,0,2,0,24,22,26
33,31,2024-01-02,27-070,BOS,@,OKC,L (-4),1,37:43:00,4,18,0.222,0,8,0,7,8,0.875,2,4,6,3,0,0,4,5,15,2.3,-1
34,32,2024-01-05,27-073,BOS,,UTA,W (+29),1,26:54:00,5,12,0.417,2,4,0.5,1,2,0.5,0,3,3,5,1,1,3,2,13,8.5,18
35,33,2024-01-06,27-074,BOS,@,IND,W (+17),1,35:46:00,13,20,0.65,1,4,0.25,4,8,0.5,1,3,4,1,0,1,3,0,31,20.6,7
36,34,2024-01-08,27-076,BOS,@,IND,L (-2),1,37:59:00,17,26,0.654,3,4,0.75,3,5,0.6,1,4,5,2,0,0,5,2,40,25.3,-1
37,35,2024-01-10,27-078,BOS,,MIN,W (+7),1,43:09:00,9,16,0.563,4,7,0.571,13,13,1,1,10,11,3,2,1,2,1,35,33.5,10
38,36,2024-01-11,27-079,BOS,@,MIL,L (-33),1,18:19,5,14,0.357,0,1,0,0,0,,1,3,4,3,0,0,0,1,10,5.5,-17
39,37,2024-01-13,27-081,BOS,,HOU,W (+32),1,28:27:00,11,15,0.733,4,6,0.667,6,10,0.6,1,5,6,2,2,2,3,5,32,26.3,19
40,,2024-01-15,27-083,BOS,@,TOR,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
41,38,2024-01-17,27-085,BOS,,SAS,W (+19),1,31:17:00,8,16,0.5,3,6,0.5,2,2,1,1,6,7,5,1,1,3,2,21,16.9,12
42,39,2024-01-19,27-087,BOS,,DEN,L (-2),1,35:44:00,6,19,0.316,1,9,0.111,0,2,0,0,2,2,1,2,0,0,3,13,3.4,-2
43,40,2024-01-21,27-089,BOS,@,HOU,W (+9),1,30:50:00,6,14,0.429,1,3,0.333,0,2,0,0,11,11,10,3,0,3,0,13,15.1,4
44,41,2024-01-22,27-090,BOS,@,DAL,W (+9),1,36:33:00,13,22,0.591,2,7,0.286,6,9,0.667,1,2,3,4,0,2,0,5,34,26.1,-6
45,42,2024-01-25,27-093,BOS,@,MIA,W (+33),1,27:20:00,7,11,0.636,4,8,0.5,0,0,,1,3,4,5,3,0,3,1,18,17.8,22
46,43,2024-01-27,27-095,BOS,,LAC,L (-19),1,24:10:00,3,13,0.231,0,2,0,2,2,1,5,1,6,2,0,1,1,3,8,3.8,-18
47,44,2024-01-29,27-097,BOS,,NOP,W (+6),1,36:51:00,8,15,0.533,1,5,0.2,5,7,0.714,2,9,11,7,0,1,0,3,22,22.4,6
48,45,2024-01-30,27-098,BOS,,IND,W (+5),1,35:42:00,9,15,0.6,0,3,0,7,8,0.875,2,4,6,2,2,0,0,0,25,23.7,-6
49,46,2024-02-01,27-100,BOS,,LAL,L (-9),1,27:24:00,4,12,0.333,0,3,0,0,0,,3,5,8,7,1,0,3,5,8,5.7,-20
50,,2024-02-04,27-103,BOS,,MEM,W (+40),Inactive,,,,,,,,,,,,,,,,,,,,,
51,47,2024-02-07,27-106,BOS,,ATL,W (+8),1,33:52:00,7,11,0.636,0,2,0,1,1,1,0,6,6,6,1,0,2,4,15,13.5,-3
52,48,2024-02-09,27-108,BOS,,WAS,W (+4),1,34:43:00,9,15,0.6,0,1,0,0,0,,1,6,7,3,1,0,3,3,18,12.5,-15
53,49,2024-02-11,27-110,BOS,@,MIA,W (+4),1,37:12:00,8,16,0.5,3,8,0.375,1,4,0.25,3,6,9,2,0,0,6,1,20,9.7,3
