height,weight,overall_rating,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,age
180.34,148,61.0,right,medium,medium,58.0,54.0,42.0,56.0,54.0,75.0,63.0,66.0,54.0,61.0,75.0,70.0,72.0,42.0,58.0,66.0,55.0,49.0,42.0,48.0,26.0,28.0,52.0,52.0,61.0,22.0,30.0,31.0,23
182.88,170,68.0,right,high,medium,63.0,50.0,66.0,66.0,42.0,66.0,40.0,41.0,59.0,64.0,70.0,69.0,69.0,66.0,60.0,48.0,82.0,72.0,72.0,51.0,72.0,70.0,40.0,49.0,55.0,70.0,70.0,71.0,26
187.96,174,71.0,right,high,medium,82.0,46.0,52.0,61.0,49.0,62.0,59.0,59.0,62.0,66.0,70.0,71.0,69.0,75.0,43.0,67.0,71.0,88.0,80.0,58.0,80.0,75.0,55.0,61.0,46.0,65.0,70.0,69.0,34
180.34,165,67.0,right,medium,low,43.0,78.0,57.0,57.0,64.0,61.0,49.0,42.0,48.0,58.0,77.0,78.0,72.0,63.0,73.0,75.0,47.0,62.0,67.0,65.0,52.0,34.0,64.0,44.0,45.0,34.0,31.0,23.0,28
193.04,168,75.0,right,medium,medium,69.0,65.0,77.0,74.0,75.0,79.0,63.0,58.0,72.0,80.0,73.0,77.0,74.0,74.0,56.0,84.0,65.0,73.0,83.0,70.0,77.0,72.0,75.0,77.0,74.0,69.0,74.0,73.0,29
177.8,168,61.0,right,medium,medium,33.0,65.0,67.0,59.0,52.0,63.0,45.0,43.0,42.0,61.0,64.0,65.0,59.0,59.0,69.0,59.0,66.0,62.0,57.0,55.0,33.0,13.0,58.0,50.0,72.0,22.0,23.0,21.0,20
177.8,176,73.0,right,medium,medium,69.0,57.0,47.0,85.0,47.0,60.0,81.0,72.0,82.0,73.0,49.0,38.0,61.0,70.0,59.0,77.0,33.0,66.0,61.0,73.0,70.0,68.0,64.0,76.0,63.0,68.0,71.0,65.0,31
180.34,154,68.0,right,high,medium,44.0,73.0,61.0,56.0,68.0,68.0,48.0,40.0,40.0,67.0,81.0,79.0,68.0,70.0,71.0,65.0,75.0,72.0,56.0,59.0,67.0,22.0,62.0,46.0,40.0,12.0,16.0,19.0,27
182.88,179,65.0,right,medium,high,46.0,48.0,68.0,62.0,36.0,47.0,28.0,43.0,59.0,58.0,73.0,71.0,70.0,65.0,52.0,71.0,80.0,78.0,86.0,56.0,84.0,64.0,54.0,51.0,45.0,63.0,67.0,64.0,29
175.26,157,71.0,left,high,medium,69.0,41.0,65.0,69.0,36.0,71.0,76.0,58.0,61.0,72.0,80.0,77.0,79.0,69.0,77.0,69.0,73.0,72.0,76.0,60.0,69.0,72.0,67.0,67.0,57.0,71.0,72.0,70.0,30
177.8,165,66.0,right,high,medium,49.0,43.0,71.0,64.0,49.0,50.0,72.0,57.0,78.0,66.0,60.0,63.0,56.0,59.0,67.0,59.0,80.0,70.0,76.0,42.0,69.0,65.0,43.0,52.0,71.0,55.0,64.0,69.0,34
180.34,170,76.0,right,high,low,64.0,68.0,60.0,82.0,67.0,78.0,68.0,71.0,71.0,81.0,66.0,67.0,63.0,74.0,80.0,80.0,62.0,34.0,91.0,70.0,70.0,55.0,67.0,81.0,76.0,44.0,59.0,58.0,34
175.26,157,61.0,left,medium,medium,57.0,50.0,40.0,54.0,59.0,67.0,65.0,40.0,48.0,63.0,77.0,82.0,74.0,55.0,77.0,34.0,70.0,55.0,48.0,44.0,44.0,23.0,55.0,55.0,39.0,24.0,23.0,22.0,20
182.88,168,73.0,left,high,high,73.0,43.0,57.0,69.0,51.0,75.0,67.0,40.0,67.0,77.0,79.0,82.0,78.0,75.0,70.0,77.0,70.0,85.0,65.0,71.0,71.0,67.0,63.0,59.0,48.0,69.0,73.0,73.0,24
190.5,187,67.0,right,medium,medium,43.0,39.0,73.0,56.0,33.0,45.0,28.0,41.0,53.0,52.0,33.0,53.0,47.0,65.0,47.0,71.0,34.0,51.0,84.0,52.0,76.0,59.0,31.0,53.0,48.0,68.0,72.0,66.0,32
182.88,172,72.0,right,medium,medium,49.0,78.0,71.0,63.0,56.0,74.0,45.0,43.0,49.0,73.0,82.0,81.0,60.0,71.0,60.0,73.0,61.0,64.0,63.0,70.0,35.0,20.0,69.0,59.0,77.0,20.0,20.0,21.0,19
172.72,152,67.0,right,high,medium,45.0,71.0,57.0,59.0,56.0,67.0,68.0,61.0,55.0,64.0,90.0,92.0,76.0,61.0,88.0,65.0,75.0,72.0,58.0,67.0,78.0,36.0,70.0,48.0,68.0,20.0,17.0,21.0,19
185.42,174,63.0,right,high,medium,25.0,45.0,69.0,44.0,56.0,54.0,33.0,61.0,54.0,47.0,63.0,59.0,71.0,72.0,62.0,61.0,63.0,74.0,80.0,51.0,66.0,67.0,81.0,52.0,65.0,54.0,63.0,61.0,32
182.88,174,69.0,right,medium,medium,49.0,46.0,64.0,64.0,54.0,57.0,65.0,63.0,64.0,63.0,58.0,53.0,66.0,68.0,63.0,66.0,80.0,75.0,75.0,59.0,71.0,71.0,50.0,58.0,57.0,68.0,72.0,70.0,31
177.8,141,52.0,right,medium,medium,54.0,47.0,35.0,53.0,45.0,58.0,41.0,33.0,49.0,51.0,61.0,69.0,55.0,33.0,72.0,55.0,43.0,53.0,47.0,37.0,30.0,25.0,42.0,51.0,55.0,31.0,25.0,26.0,19
190.5,172,62.0,right,high,medium,50.0,64.0,63.0,55.0,59.0,62.0,52.0,44.0,51.0,59.0,67.0,71.0,60.0,52.0,48.0,57.0,70.0,64.0,72.0,46.0,51.0,24.0,65.0,58.0,65.0,21.0,23.0,21.0,20
170.18,161,59.0,right,high,medium,39.0,63.0,57.0,58.0,56.0,62.0,40.0,37.0,42.0,60.0,81.0,90.0,76.0,61.0,81.0,56.0,81.0,53.0,51.0,54.0,31.0,16.0,60.0,46.0,66.0,20.0,19.0,14.0,21
187.96,172,59.0,right,medium,medium,46.0,25.0,65.0,53.0,24.0,41.0,25.0,22.0,33.0,57.0,54.0,55.0,54.0,46.0,33.0,55.0,71.0,60.0,71.0,24.0,54.0,54.0,33.0,32.0,22.0,59.0,59.0,56.0,21
182.88,179,66.0,right,medium,medium,54.0,50.0,62.0,59.0,31.0,54.0,31.0,28.0,59.0,58.0,65.0,63.0,70.0,65.0,61.0,56.0,85.0,59.0,74.0,33.0,62.0,77.0,57.0,44.0,44.0,60.0,64.0,64.0,28
185.42,181,62.0,right,medium,high,49.0,39.0,51.0,67.0,43.0,64.0,35.0,40.0,64.0,66.0,69.0,66.0,54.0,63.0,54.0,59.0,62.0,74.0,78.0,40.0,65.0,54.0,53.0,57.0,45.0,52.0,61.0,57.0,23
177.8,152,57.0,right,medium,medium,67.0,52.0,52.0,53.0,37.0,61.0,44.0,33.0,48.0,55.0,74.0,78.0,57.0,46.0,63.0,44.0,73.0,52.0,43.0,40.0,25.0,47.0,51.0,40.0,64.0,55.0,52.0,48.0,22
187.96,170,60.0,right,medium,medium,42.0,59.0,65.0,43.0,48.0,57.0,40.0,31.0,29.0,52.0,58.0,57.0,61.0,60.0,58.0,63.0,65.0,58.0,72.0,56.0,70.0,26.0,65.0,46.0,62.0,33.0,33.0,41.0,22
185.42,176,60.0,right,medium,medium,37.0,32.0,67.0,60.0,38.0,44.0,53.0,39.0,58.0,61.0,69.0,68.0,61.0,54.0,64.0,61.0,71.0,76.0,73.0,56.0,57.0,50.0,55.0,52.0,61.0,62.0,64.0,60.0,21
